,Brand_Name,Active_Years
0,3m,26
1,adidas,20
2,adobe,26
3,airbnb,6
4,amazon,26
5,amd,26
6,american eagle outfitters,26
7,american express,26
8,apple,26
9,block,11
10,bmw group,17
11,chipotle,20
12,cisco,26
13,coinbase,5
14,colgate palmolive,26
15,costco,26
16,crocs,20
17,delta air lines,19
18,fedex,26
19,foot locker,26
20,google,22
21,hershey company,26
22,hilton,13
23,honda,26
24,johnson & johnson,26
25,jpmorgan chase & co,26
26,logitech,26
27,lvmh,20
28,marriott,26
29,mastercard,20
30,mcdonald's,26
31,microsoft,26
32,netflix,24
33,nike,26
34,nintendo,26
35,nordstrom,26
36,nvidia,26
37,peloton,7
38,philips,26
39,pinterest,7
40,porsche,16
41,procter & gamble,26
42,puma,14
43,roblox,5
44,salesforce / slack,22
45,shopify,11
46,southwest airlines,26
47,spotify,8
48,starbucks,26
49,target,26
50,tesla,16
51,the coca-cola company,26
52,the home depot,26
53,the walt disney company,26
54,toyota,26
55,uber,7
56,ubisoft,16
57,unilever,26
58,visa,18
59,zoom video communications,7
60,zoominfo,6
