Brand_Name,Daily_Return
3m,0.015605706049420338
adidas,0.021617256089227866
adobe,0.026577904289827495
airbnb,0.030209990780861014
amazon,0.030908299378850302
amd,0.03863718488394442
american eagle outfitters,0.031216481786130096
american express,0.022332871195708957
apple,0.024276014026403135
block,0.03601775813767395
bmw group,0.021602748432619893
chipotle,0.027875074321741806
cisco,0.02286619797289496
coinbase,0.05450179170022996
colgate palmolive,0.01347082716610836
costco,0.017030267915580447
crocs,0.041206048662379834
delta air lines,0.03205690034612724
fedex,0.019819916283235303
foot locker,0.028036396184743132
google,0.01919031482407794
hershey company,0.014355250523063995
hilton,0.017710263467762558
honda,0.018243704545019
johnson & johnson,0.012011572836518802
jpmorgan chase & co,0.023419890500921733
logitech,0.027647731832056596
lvmh,0.0302648570826395
marriott,0.021141256297152057
mastercard,0.02057456673168976
mcdonald's,0.014359995875105598
microsoft,0.018948208388593533
netflix,0.03473833572116318
nike,0.019285789428131212
nintendo,0.025361182379701478
nordstrom,0.02974344421989419
nvidia,0.03902093221251083
peloton,0.052985728671428825
philips,0.02350851276500788
pinterest,0.03903822233358606
porsche,0.023656864431296682
procter & gamble,0.01308178580123885
puma,0.02840709217004052
roblox,0.04529526950649042
salesforce / slack,0.02625168303503713
shopify,0.03813268085188933
southwest airlines,0.02238192393139307
spotify,0.02934593628754284
starbucks,0.02101652561536725
target,0.020727222872454144
tesla,0.03594432745491061
the coca-cola company,0.012866032525360758
the home depot,0.01885837086539443
the walt disney company,0.0191619169465275
toyota,0.01639054918315533
uber,0.033102498517814785
ubisoft,0.02777078170783853
unilever,0.014582424776383924
visa,0.018009745920500652
zoom video communications,0.035497006156532535
zoominfo,0.038064967930749156
