,Brand_Name,Turnover,total_mean_turnover,turnovers_%
0,3m,274617656.1334817,50374602396.905655,0.5451510147310871
1,adidas,4396947.028804089,50374602396.905655,0.0087284997192835
2,adobe,512227921.74313045,50374602396.905655,1.0168376470889922
3,airbnb,840795740.1413975,50374602396.905655,1.669086603436983
4,amazon,3345749008.5467505,50374602396.905655,6.64173779911019
5,amd,1647706478.613114,50374602396.905655,3.2709071639527765
6,american eagle outfitters,57673272.04384785,50374602396.905655,0.11448878859516423
7,american express,341798333.99100757,50374602396.905655,0.6785132144526923
8,apple,5373250079.511589,50374602396.905655,10.66658558845846
9,block,888081217.9664075,50374602396.905655,1.7629542978208388
10,bmw group,761111.2162714606,50374602396.905655,0.0015109026772551026
11,chipotle,321171826.06343925,50374602396.905655,0.6375669698251907
12,cisco,869983665.2174383,50374602396.905655,1.727028351236929
13,coinbase,1584481467.6726625,50374602396.905655,3.145397466740089
14,colgate palmolive,184797670.62258053,50374602396.905655,0.3668469066347053
15,costco,420462124.2116867,50374602396.905655,0.8346708543698884
16,crocs,73260500.50921693,50374602396.905655,0.14543142183434304
17,delta air lines,334748462.9234191,50374602396.905655,0.6645183227172858
18,fedex,266963823.21032447,50374602396.905655,0.5299571818093857
19,foot locker,59174002.41076005,50374602396.905655,0.11746792946279397
20,google,2499194293.949512,50374602396.905655,4.9612188980831124
21,hershey company,95492386.65871003,50374602396.905655,0.18956454664657724
22,hilton,231121854.17116064,50374602396.905655,0.4588063094774078
23,honda,16764091.834550546,50374602396.905655,0.033278856878045174
24,johnson & johnson,654933556.4289289,50374602396.905655,1.3001265027734676
25,jpmorgan chase & co,960678274.8899765,50374602396.905655,1.9070686996608193
26,logitech,17687140.35499477,50374602396.905655,0.03511122572370166
27,lvmh,9602417.130855046,50374602396.905655,0.01906202068891146
28,marriott,166023026.80179173,50374602396.905655,0.32957684805863596
29,mastercard,678058825.2054465,50374602396.905655,1.3460331058555361
30,mcdonald's,408086197.3687233,50374602396.905655,0.8101030637490266
31,microsoft,2864484772.772495,50374602396.905655,5.686367011302606
32,netflix,1261142880.8482761,50374602396.905655,2.503529200908877
33,nike,368541545.0041161,50374602396.905655,0.7316018935501403
34,nintendo,10161255.776312554,50374602396.905655,0.020171386557557677
35,nordstrom,79034813.12497225,50374602396.905655,0.1568941676248885
36,nvidia,3958805107.472538,50374602396.905655,7.858732216446664
37,peloton,459413883.0527502,50374602396.905655,0.9119950554308901
38,philips,25696409.79651457,50374602396.905655,0.051010645392395235
39,pinterest,416294508.08225703,50374602396.905655,0.826397605686767
40,porsche,1189445.9308458657,50374602396.905655,0.002361201625918797
41,procter & gamble,563579103.5218775,50374602396.905655,1.1187762815106532
42,puma,19409.686802540204,50374602396.905655,3.853069975542373e-05
43,roblox,678858918.4219731,50374602396.905655,1.3476213927669098
44,salesforce / slack,613401778.4039981,50374602396.905655,1.2176806351163922
45,shopify,781454129.9411305,50374602396.905655,1.5512859511703714
46,southwest airlines,164256273.18568796,50374602396.905655,0.32606961716838817
47,spotify,398339087.920686,50374602396.905655,0.7907538103867092
48,starbucks,361401565.05636466,50374602396.905655,0.7174281242139677
49,target,333610414.8511469,50374602396.905655,0.6622591523851699
50,tesla,9128517724.686611,50374602396.905655,18.12127002564162
51,the coca-cola company,438161414.75174624,50374602396.905655,0.8698061997580373
52,the home depot,553252958.6009343,50374602396.905655,1.0982775690055246
53,the walt disney company,642629180.8828831,50374602396.905655,1.2757007505876765
54,toyota,34807537.27662653,50374602396.905655,0.06909739356824113
55,uber,1052687571.522248,50374602396.905655,2.089718869100019
56,ubisoft,698454.6477797918,50374602396.905655,0.0013865214106835227
57,unilever,43792919.66574494,50374602396.905655,0.08693452172723251
58,visa,995108236.670676,50374602396.905655,1.9754165577926273
59,zoom video communications,869585097.0643964,50374602396.905655,1.7262371427031096
60,zoominfo,135932623.71327192,50374602396.905655,0.2698435664906048
